Date,PM10,PM2.5,O3
2021.1.1,25,16,0.015
2021.1.2,31,11,0.025
2021.1.3,36,13,0.02
2021.1.4,37,21,0.009
2021.1.5,27,16,0.021
2021.1.6,23,13,0.017
2021.1.7,33,11,0.023
2021.1.8,19,10,0.023
2021.1.9,24,15,0.02
2021.1.10,31,22,0.011
2021.1.11,43,31,0.005
2021.1.12,58,47,0.003
2021.1.13,98,45,0.008
2021.1.14,76,29,0.01
2021.1.15,72,32,0.011
2021.1.16,51,35,0.023
2021.1.17,19,13,0.023
2021.1.18,35,18,0.018
2021.1.19,30,14,0.012
2021.1.20,41,24,0.005
2021.1.21,45,30,0.004
2021.1.22,38,31,0.004
2021.1.23,13,11,0.019
2021.1.24,11,9,0.021
2021.1.25,21,15,0.007
2021.1.26,36,27,0.007
2021.1.27,37,18,0.019
2021.1.28,32,16,0.016
2021.1.29,23,9,0.025
2021.1.30,46,22,0.012
2021.1.31,52,28,0.01
